GENDER,REFERRING_PROVIDER_REGION,DISEASE_CODE,RECEIVING_PROVIDER_REGION,AGE_GROUP,TOTAL_REFERRALS
F,Makkah,R05,Medinah,18-29,1
M,Jazan,W08.8,Jazan,50-59,2
M,Jazan,V99,Jeddah,18-29,22
M,Riyadh,J05.0,Riyadh,00-17,30
F,Eastern Region,I64,East,80+,18
M,Jeddah,R13,Makkah,50-59,1
F,Medinah,E11.11,Medina,00-17,12
F,Jeddah,I31.9,Jeddah,50-59,20
M,Asir,J21.1,Asir,00-17,1
M,Jeddah,R05,Northern Borders,70-79,1
F,Medinah,K76.1,Medina,60-69,1
F,Asir,W01.0,Assir,00-17,6
F,Jeddah,J21.9,Makkah,00-17,5
M,Asir,V09.9,Assir,00-17,7
F,Asir,K92.9,Assir,60-69,7
M,Jeddah,P36.9,Makkah,00-17,1
M,Bisha,J18.9,Riyadh,70-79,32
M,Jeddah,J90,Makkah,30-39,1
M,Jeddah,A41.9,Makkah,50-59,4
M,Qassim,G40.61,Qassim,40-49,2
M,Riyadh,I69.4,Riyadh,30-39,1
M,Makkah,S73.02,Jeddah,30-39,21
M,Qunfotha,E11.11,Jeddah,70-79,20
M,Jeddah,N11.1,Makkah,40-49,2
M,Northern Borders,E11.65,Riyadh,60-69,32
F,Tabuk,S72.05,Taef,70-79,2
M,Riyadh,K76.9,Riyadh,60-69,31
M,Jeddah,J18.0,Makkah,70-79,1
M,Asir,I86.1,Assir,50-59,6
F,Riyadh,S92.21,Riyadh,50-59,30
F,Riyadh,E11.11,Riyadh,30-39,1
F,Medinah,G40.60,Medina,60-69,7
F,Asir,R23.0,Assir,00-17,1
F,Riyadh,J96.09,Riyadh,40-49,94
M,Jeddah,J96.19,Jeddah,70-79,21
F,Asir,M60.08,Assir,00-17,6
M,Asir,G04.2,Assir,18-29,6
M,Riyadh,J96.09,Riyadh,70-79,1
M,Hafer AlBatin,Z50.9,Riyadh,50-59,1
F,Jeddah,G41.9,Makkah,40-49,1
F,Asir,E13.15,Assir,00-17,6
F,Jeddah,J15.9,Makkah,60-69,2
F,Qassim,E87.2,Qassim,00-17,3
F,Asir,E14.15,Assir,80+,1
M,Asir,S06.03,Assir,70-79,6
F,Asir,E87.2,Assir,00-17,7
M,Jeddah,J45.8,Makkah,00-17,1
F,Jeddah,G23.8,Makkah,80+,1
F,Eastern Region,J45.9,East,50-59,17
M,Qunfotha,V99,Makkah,00-17,6
F,Jeddah,K92.9,Jeddah,70-79,23
M,Baha,P22.0,Makkah,00-17,1
F,Jeddah,J96.09,Makkah,80+,3
M,Riyadh,A09.9,Riyadh,40-49,31
F,Medinah,J15.9,Medinah,00-17,6
M,Qassim,E10.11,Qassim,18-29,2
M,Asir,J15.9,Assir,60-69,6
M,Baha,S06.03,Makkah,70-79,1
F,Riyadh,K59.1,Riyadh,80+,1
M,Jeddah,I64,Jeddah,18-29,21
F,Asir,K86.9,Assir,30-39,6
F,Makkah,C83.7,Jeddah,50-59,1
F,Eastern Region,D57.1,East,18-29,18
F,Jeddah,Z93.0,Jeddah,60-69,2
F,Makkah,N17.9,Makkah,40-49,6
F,Outside-KSA,C65,Medinah,60-69,1
F,Medinah,A41.9,Medinah,70-79,1
F,Jeddah,R10.4,Jeddah,80+,24
F,Medinah,J45.9,Medina,50-59,7
M,Asir,R05,Assir,00-17,228
F,Qassim,R05,Qassim,50-59,8
M,Asir,R05,Assir,80+,19
F,Jazan,I64,Jeddah,60-69,21
F,Najran,J21.9,Medina,00-17,6
M,Medinah,J06.9,Makkah,00-17,1
M,Makkah,I51.9,Makkah,70-79,24
M,Jeddah,R57.2,Makkah,40-49,1
F,Riyadh,S72.9,Riyadh,80+,60
F,Riyadh,J12.0,Riyadh,80+,59
F,Riyadh,U82.3,Riyadh,80+,287
F,Asir,I27.2,Assir,60-69,7
M,Makkah,I50.9,Makkah,70-79,12
M,Riyadh,I50.9,Riyadh,40-49,62
F,Riyadh,N39.9,Riyadh,00-17,124
F,Qassim,A41.9,Qassim,70-79,13
M,Qassim,T52.4,Qassim,00-17,4
M,Jeddah,I50.9,Jeddah,50-59,77
M,Jeddah,O09.9,Makkah,00-17,1
F,Jeddah,I24.9,Jeddah,70-79,151
M,Makkah,J18.9,Makkah,60-69,6
M,Jeddah,E87.2,Jeddah,60-69,23
F,Northern Borders,K92.9,Riyadh,50-59,30
M,Makkah,R57.8,Makkah,40-49,6
F,Medinah,S98.4,Jeddah,40-49,2
F,Riyadh,Z50.9,Riyadh,00-17,50
M,Jazan,I79.0,Assir,50-59,6
F,Riyadh,I21.9,Riyadh,70-79,96
F,Medinah,I46.9,Medina,80+,7
F,Jeddah,E83.5,Jeddah,60-69,2
M,Riyadh,Q20.31,Riyadh,00-17,32
F,Asir,A41.9,Assir,40-49,13
M,Medinah,G41.9,Medina,40-49,6
M,Jazan,E11.11,Jazan,00-17,2
M,Jeddah,W73,Jeddah,00-17,20
F,Makkah,N17.9,Makkah,70-79,7
M,Riyadh,R07.4,Riyadh,50-59,31
M,Northern Borders,N17.9,Riyadh,00-17,32
M,Asir,P74.0,Assir,00-17,7
F,Asir,P28.49,Assir,00-17,6
F,Jeddah,S07.1,Makkah,00-17,1
F,Jeddah,I51.9,Jeddah,80+,38
F,Jeddah,I64,Jeddah,40-49,65
M,Riyadh,D57.1,Riyadh,18-29,189
M,Medinah,A41.9,Medina,70-79,18
M,Asir,V99,Assir,18-29,69
F,Qassim,K85.9,Qassim,30-39,2
F,Qassim,O14.9,Qassim,30-39,3
M,Jeddah,I50.9,Makkah,80+,1
M,Makkah,C67.9,Makkah,70-79,7
M,Najran,A41.9,Najran,00-17,8
F,Asir,I61.9,Assir,00-17,6
M,Hafer AlBatin,V99,Riyadh,18-29,31
M,Jeddah,I64,Jeddah,40-49,106
M,Najran,R29.2,Najran,00-17,3
F,Medinah,O42.2,Medina,30-39,12
M,Jeddah,E10.11,Makkah,18-29,10
M,Jeddah,N17.9,Makkah,80+,3
F,Jouf,I24.9,Riyadh,80+,31
M,Riyadh,K80.10,Riyadh,80+,33
F,Medinah,E10.64,Medina,00-17,6
M,Makkah,N48.8,Jeddah,40-49,20
M,Riyadh,J45.9,Riyadh,00-17,495
M,Medinah,I51.9,Medina,60-69,12
M,Makkah,N17.9,Makkah,70-79,12
M,Jeddah,G40.61,Makkah,30-39,1
M,Tabuk,I98.2,Tabuk,30-39,1
M,Medinah,E11.11,Medina,70-79,14
M,Riyadh,G91.9,Riyadh,00-17,62
M,Qassim,R00.1,Qassim,60-69,2
M,Hafer AlBatin,J96.09,Hafer Albatin,00-17,2
M,Asir,J96.01,Assir,70-79,6
F,Jeddah,I25.11,Jeddah,50-59,20
M,Riyadh,M01.07,Riyadh,40-49,1
M,Jeddah,I69.4,Jeddah,50-59,24
M,Jazan,R06.6,Jazan,00-17,2
M,Asir,K75.4,Asir,00-17,1
F,Makkah,R57.2,Jeddah,50-59,22
M,Makkah,D57.1,Makkah,30-39,6
F,Riyadh,E16.2,Riyadh,18-29,40
M,Qassim,E13.15,Qassim,30-39,4
M,Jazan,E11.11,Jazan,80+,4
M,Jeddah,I10,Jeddah,80+,1
M,Riyadh,J91,Riyadh,60-69,1
M,Medinah,R10.0,Medina,00-17,7
M,Asir,S36.83,Asir,60-69,1
M,Medinah,K29.70,Medina,00-17,6
M,Makkah,A78,Makkah,00-17,12
M,Baha,A41.9,Assir,00-17,6
F,Jeddah,A39.9,Jeddah,00-17,20
M,Qassim,R06.6,Qassim,60-69,2
M,Asir,S72.8,Asir,30-39,1
M,Jeddah,I21.9,Makkah,50-59,6
M,Asir,N17.9,Assir,50-59,7
M,Eastern Region,R10.0,East,00-17,18
F,Jeddah,D55.9,Jeddah,40-49,21
F,Riyadh,I69.4,Riyadh,60-69,1
M,Riyadh,G55.1,Riyadh,50-59,1
M,Qunfotha,S52.31,Makkah,40-49,6
F,Qassim,I64,Qassim,40-49,6
M,Riyadh,I61.9,Riyadh,60-69,31
M,Jeddah,V09.9,Jeddah,60-69,24
M,Riyadh,Z50.8,Jeddah,00-17,1
F,Makkah,L04.9,Makkah,00-17,6
M,Riyadh,S42.02,Riyadh,18-29,34
F,Riyadh,E11.11,Riyadh,50-59,63
M,Medinah,S06.03,Medina,60-69,1
F,Jeddah,J45.9,Jeddah,50-59,22
M,Medinah,I64,Medina,80+,19
F,Makkah,I64,Makkah,50-59,18
M,Qassim,R05,Qassim,60-69,11
F,Jeddah,A78,Makkah,00-17,2
M,Asir,R10.0,Assir,40-49,6
F,Qassim,R05,Qassim,00-17,16
M,Jazan,I64,Jazan,80+,8
F,Asir,I98.2,Assir,80+,6
M,Riyadh,N18.5,Riyadh,60-69,31
F,Jeddah,I50.0,Makkah,60-69,1
M,Makkah,V99,Jeddah,30-39,19
F,Medinah,E16.2,Medina,00-17,6
M,Medinah,J18.9,Medina,00-17,367
F,Jeddah,P07.32,Makkah,00-17,7
M,Qunfotha,E11.11,Jeddah,60-69,20
M,Jeddah,I21.9,Jeddah,40-49,122
M,Makkah,E13.15,Makkah,18-29,18
M,Jeddah,G41.9,Makkah,30-39,1
F,Riyadh,Z88.1,Riyadh,18-29,34
M,Taif,V99,Taef,18-29,2
F,Jeddah,I24.9,Makkah,70-79,7
F,Jeddah,S72.9,Jeddah,80+,65
M,Jeddah,I60.8,Jeddah,70-79,19
F,Riyadh,D69.4,Riyadh,50-59,31
M,Jeddah,I50.9,Jeddah,80+,23
F,Jeddah,I46.9,Makkah,80+,1
F,Riyadh,L03.8,Riyadh,80+,30
M,Qassim,A41.8,Qassim,60-69,2
M,Qassim,G41.9,Qassim,18-29,4
M,Bisha,D57.8,Assir,00-17,6
M,Jeddah,W73,Makkah,00-17,1
F,Riyadh,S06.03,Riyadh,60-69,32
M,Riyadh,J18.9,Riyadh,70-79,93
F,Asir,S82.6,Assir,50-59,6
M,Jeddah,I50.9,Makkah,50-59,5
F,Asir,S32.4,Assir,70-79,6
M,Jeddah,R57.2,Jeddah,80+,80
F,Riyadh,G46.4,Riyadh,40-49,29
M,Jeddah,U82.3,Makkah,60-69,4
F,Bisha,V99,Assir,30-39,6
F,Riyadh,V99,Riyadh,40-49,63
F,Riyadh,R10.0,Riyadh,30-39,90
F,Medinah,O61.9,Medina,18-29,18
M,Makkah,R57.2,Makkah,40-49,12
F,Makkah,E11.11,Makkah,60-69,6
M,Riyadh,N39.9,Riyadh,60-69,62
F,Jazan,G40.60,Assir,00-17,6
M,Makkah,I24.9,Makkah,60-69,6
M,Medinah,E16.9,Makkah,00-17,1
M,Jeddah,U82.3,Jeddah,60-69,66
M,Hafer AlBatin,I50.9,Hafer Albatin,80+,2
M,Jeddah,I51.9,Jeddah,80+,39
F,Asir,I42.9,Assir,00-17,6
M,Jeddah,V21.02,Jeddah,18-29,23
M,Jeddah,P59.9,Jeddah,00-17,20
M,Qassim,A41.9,Qassim,80+,17
M,Jeddah,V99,Makkah,18-29,8
F,Medinah,P22.8,Medina,18-29,6
M,Tabuk,E11.11,Tabuk,70-79,1
F,Riyadh,R10.0,Riyadh,50-59,30
M,Najran,L89.34,Najran,50-59,6
M,Jeddah,E87.2,Makkah,60-69,1
M,Jeddah,V99,Makkah,50-59,2
F,Riyadh,N17.1,Riyadh,80+,31
M,Asir,G72.3,Assir,30-39,7
M,Riyadh,S06.03,Riyadh,80+,30
F,Riyadh,E87.1,Riyadh,80+,33
M,Qassim,J81,Qassim,60-69,2
F,Riyadh,P96.0,Riyadh,60-69,32
F,Riyadh,R62.0,Riyadh,00-17,1
M,Hassa,I64,Ihsaa,70-79,1
F,Medinah,E14.11,Medinah,80+,1
M,Qassim,J45.9,Qassim,00-17,5
F,Jeddah,J45.9,Jeddah,18-29,22
F,Asir,O09.9,Assir,30-39,6
F,Asir,R18,Assir,70-79,7
F,Jeddah,W10.9,Makkah,00-17,1
F,Asir,R06.6,Assir,60-69,6
F,Asir,J96.01,Assir,50-59,1
F,Eastern Region,J18.9,East,00-17,35
M,Jeddah,J18.0,Makkah,00-17,3
M,Eastern Region,J18.9,East,80+,17
F,Asir,K92.9,Assir,70-79,1
F,Asir,M70.5,Assir,60-69,1
M,Asir,I46.9,Assir,80+,7
M,Baha,P22.0,Jeddah,00-17,20
M,Jeddah,G46.4,Jeddah,60-69,19
M,Riyadh,S32.5,Riyadh,00-17,31
M,Jeddah,R19.1,Makkah,50-59,1
M,Riyadh,B90.8,Riyadh,50-59,34
F,Qassim,I46.9,Qassim,60-69,3
M,Riyadh,V89.9,Riyadh,18-29,1
F,Jazan,O00.0,Jazan,30-39,4
M,Riyadh,I67.4,Riyadh,60-69,37
F,Qassim,N18.9,Qassim,80+,3
M,Jeddah,I21.9,Makkah,30-39,3
M,Jazan,D57.8,Jazan,00-17,2
M,Makkah,R05,Makkah,70-79,12
M,Medinah,G40.60,Medina,00-17,6
M,Riyadh,E11.65,Riyadh,70-79,32
F,Jazan,J18.9,Assir,70-79,6
F,Qurayyat,P59.9,Riyadh,70-79,31
M,Najran,J20.9,Najran,00-17,24
M,Jeddah,R57.1,Makkah,70-79,1
F,Riyadh,N39.9,Riyadh,80+,30
M,Jeddah,Z50.9,Riyadh,60-69,1
F,Medinah,P07.32,Medina,00-17,6
F,Jeddah,K92.9,Jeddah,80+,41
M,Riyadh,I51.3,Riyadh,80+,3
F,Asir,G41.9,Assir,50-59,1
F,Makkah,A41.9,Makkah,60-69,5
F,Asir,P22.9,Assir,00-17,1
F,Jeddah,E87.1,Jeddah,80+,21
M,Qassim,U82.3,Qassim,70-79,3
M,Qurayyat,N25.9,Riyadh,70-79,30
M,Northern Borders,I47.1,Riyadh,00-17,30
M,Jazan,I24.9,Jazan,30-39,2
F,Riyadh,J42,Riyadh,40-49,1
F,Riyadh,J44.9,Riyadh,80+,1
F,Jeddah,I51.9,Jeddah,00-17,19
M,Jazan,S63.00,Jazan,00-17,2
F,Jeddah,S73.00,Makkah,60-69,1
F,Asir,U86.2,Assir,60-69,6
M,Medinah,K12.1,Medina,00-17,6
M,Jeddah,S27.0,Jeddah,18-29,24
M,Qunfotha,J96.09,Makkah,50-59,6
F,Jazan,A78,Jazan,00-17,6
M,Jazan,F45.2,Jazan,30-39,2
M,Riyadh,U86.2,Riyadh,70-79,2
F,Riyadh,R10.4,Riyadh,50-59,30
M,Jeddah,M46.20,Jeddah,80+,22
M,Qassim,E10.11,Qassim,40-49,2
F,Riyadh,F19.5,Riyadh,18-29,3
M,Makkah,J18.0,Medina,00-17,6
M,Jeddah,A18.8,Makkah,30-39,1
M,Asir,N18.5,Assir,80+,1
M,Riyadh,I46.0,Riyadh,80+,1
M,Jeddah,R05,Makkah,70-79,6
F,Qunfotha,S32.4,Makkah,40-49,6
M,Asir,S72.05,Assir,60-69,6
F,Asir,S63.10,Asir,00-17,1
M,Asir,J21.9,Medinah,00-17,1
M,Asir,G41.8,Assir,18-29,6
F,Jeddah,J45.9,Makkah,18-29,1
M,Asir,K29.0,Assir,00-17,7
F,Riyadh,M50.9,Riyadh,40-49,30
M,Qunfotha,S72.9,Makkah,80+,6
F,Makkah,R65.1,Makkah,00-17,6
F,Riyadh,Z50.9,East,00-17,1
F,Asir,D57.0,Assir,00-17,7
F,Asir,R07.4,Assir,70-79,6
F,Medinah,F19.0,Medina,18-29,7
F,Medinah,I26.9,Medinah,80+,2
F,Riyadh,U53.1,Riyadh,00-17,1
M,Qassim,N39.0,Qassim,80+,2
M,Riyadh,J96.01,Riyadh,40-49,32
F,Eastern Region,E11.11,East,80+,18
M,Jeddah,Z23.7,Jeddah,00-17,19
F,Jeddah,J15.9,Jeddah,60-69,42
F,Qassim,J45.9,Qassim,50-59,3
M,Qassim,S32.4,Qassim,50-59,2
M,Asir,K92.9,Assir,70-79,13
F,Riyadh,R56.8,Riyadh,00-17,27
F,Northern Borders,I64,Riyadh,60-69,61
F,Riyadh,I64,Riyadh,60-69,367
F,Asir,J45.9,Assir,00-17,92
F,Asir,I64,Assir,40-49,6
F,Taif,R52.9,Makkah,60-69,1
M,Jeddah,R56.8,Makkah,00-17,1
M,Jeddah,D55.0,Makkah,18-29,1
F,Riyadh,J18.8,Riyadh,60-69,32
M,Riyadh,J45.9,Riyadh,30-39,96
F,Jeddah,K92.2,Jeddah,70-79,42
M,Asir,M00.80,Assir,00-17,7
M,Baha,M05.88,Jeddah,60-69,20
M,Qassim,E87.6,Qassim,40-49,3
F,Riyadh,Z50.9,Riyadh,60-69,26
F,Jeddah,I26.9,Jeddah,50-59,67
F,Jeddah,E16.2,Jeddah,18-29,22
F,Qassim,A41.9,Qassim,80+,16
F,Qassim,N17.9,Qassim,60-69,5
M,Makkah,R57.2,Makkah,70-79,6
F,Medinah,K92.2,Medina,00-17,6
M,Jeddah,D02.2,Makkah,60-69,1
M,Asir,N32.9,Assir,80+,6
M,Najran,G40.60,Najran,00-17,12
F,Jeddah,A41.9,Jeddah,70-79,64
M,Makkah,G44.0,Makkah,50-59,6
M,Makkah,N17.9,Makkah,80+,17
M,Jeddah,P59.9,Jeddah,30-39,21
M,Najran,M89.55,Najran,30-39,2
F,Jeddah,Z51.9,Makkah,30-39,1
M,Riyadh,K92.9,Riyadh,60-69,62
M,Jeddah,J15.9,Makkah,00-17,3
F,Najran,M63.08,Najran,00-17,3
F,Jeddah,R60.9,Jeddah,70-79,19
M,Eastern Region,K92.2,East,30-39,30
F,Jeddah,I44.2,Jeddah,70-79,24
F,Jeddah,K76.9,Makkah,60-69,1
M,Riyadh,P22.0,Riyadh,00-17,186
M,Jeddah,J12.0,Makkah,60-69,1
F,Jouf,P07.32,Riyadh,00-17,62
M,Riyadh,W01.0,Riyadh,40-49,30
F,Riyadh,R07.4,Riyadh,18-29,31
F,Jeddah,G91.9,Jeddah,18-29,21
F,Jeddah,P58.3,Makkah,00-17,1
F,Medinah,A41.9,Medina,80+,19
F,Jeddah,R57.9,Makkah,70-79,1
F,Najran,Z50.8,Riyadh,00-17,3
M,Jeddah,R57.2,Makkah,70-79,5
F,Tabuk,I26.9,Medina,70-79,7
M,Riyadh,J45.9,Riyadh,60-69,31
M,Najran,S72.9,Najran,00-17,3
M,Qunfotha,M48.42,Makkah,00-17,6
F,Asir,A78,Assir,00-17,6
M,Asir,R05,Assir,40-49,13
M,Qassim,R05,Qassim,18-29,9
F,Najran,R05,Najran,00-17,52
M,Hafer AlBatin,J45.9,Hafer Albatin,00-17,2
F,Jeddah,I64,Jeddah,30-39,2
F,Qassim,R07.4,Qassim,60-69,1
M,Riyadh,R56.8,Riyadh,00-17,29
F,Riyadh,R05,Riyadh,00-17,919
F,Asir,I64,Assir,50-59,12
F,Jeddah,S72.9,Makkah,80+,3
F,Jeddah,I21.9,Makkah,50-59,3
M,Riyadh,K92.2,Riyadh,40-49,31
F,Jeddah,I40.0,Jeddah,60-69,22
M,Riyadh,R05,Riyadh,60-69,292
F,Jeddah,Z93.0,Makkah,00-17,2
F,Riyadh,J12.8,Riyadh,60-69,33
M,Jeddah,J15.9,Jeddah,70-79,63
F,Jeddah,J96.00,Makkah,70-79,4
F,Jeddah,I24.9,Makkah,60-69,5
F,Riyadh,A41.8,Riyadh,80+,34
F,Jeddah,G93.1,Jeddah,40-49,19
F,Jeddah,J18.0,Makkah,80+,2
M,Qassim,N18.9,Qassim,70-79,5
M,Riyadh,G12.9,Riyadh,50-59,32
M,Riyadh,U82.3,Riyadh,70-79,91
M,Jeddah,I64,Makkah,80+,10
M,Jeddah,D64.9,Jeddah,40-49,21
F,Najran,M00.80,Najran,00-17,3
F,Jeddah,E87.0,Makkah,30-39,1
M,Makkah,I62.9,Makkah,40-49,6
M,Riyadh,N21.9,Riyadh,80+,31
F,Riyadh,D09.7,Riyadh,50-59,3
M,Riyadh,N39.9,Riyadh,00-17,34
F,Makkah,J18.9,Makkah,50-59,12
F,Eastern Region,R56.0,East,00-17,17
M,Riyadh,S82.21,Riyadh,30-39,31
M,Riyadh,E13.15,Riyadh,30-39,33
M,Riyadh,J47,Riyadh,40-49,32
F,Jeddah,P22.8,Makkah,00-17,1
M,Jazan,S06.03,Assir,80+,6
F,Jeddah,R65.1,Makkah,00-17,1
F,Jeddah,N91.2,Makkah,30-39,1
M,Najran,U80.3,Najran,00-17,37
M,Jeddah,E13.11,Jeddah,50-59,40
M,Qassim,I24.9,Riyadh,00-17,30
F,Qassim,R57.9,Qassim,60-69,2
M,Medinah,U80.3,Medina,00-17,12
F,Outside-KSA,G93.5,Makkah,30-39,1
M,Riyadh,M51.9,East,00-17,2
F,Jeddah,P22.9,Makkah,30-39,2
M,Jeddah,S06.5,Jeddah,00-17,22
M,Jeddah,U82.3,Jeddah,50-59,42
F,Jeddah,J46,Makkah,00-17,2
F,Jeddah,E13.15,Makkah,40-49,2
M,Riyadh,R10.0,Riyadh,40-49,31
M,Jeddah,H91.9,Jeddah,00-17,1
F,Qassim,R57.0,Qassim,00-17,2
M,Asir,K72.1,Assir,50-59,6
F,Asir,P36.0,Assir,00-17,6
M,Jeddah,Q90.9,Makkah,00-17,1
M,Qunfotha,S52.02,Makkah,18-29,6
F,Riyadh,J18.0,Riyadh,60-69,34
M,Jeddah,N17.9,Jeddah,18-29,19
M,Makkah,R57.9,Makkah,80+,5
F,Asir,J18.0,Assir,00-17,201
M,Jeddah,S82.0,Makkah,50-59,1
F,Makkah,O42.9,Makkah,30-39,6
M,Bisha,J18.9,Riyadh,40-49,32
F,Riyadh,Z47.0,Riyadh,80+,29
F,Makkah,I24.9,Makkah,80+,24
M,Makkah,K92.0,Jeddah,60-69,19
M,Riyadh,E11.73,Riyadh,50-59,91
F,Jeddah,R05,Jeddah,00-17,393
M,Qassim,J44.1,Qassim,70-79,3
M,Riyadh,J44.1,Riyadh,50-59,1
M,Riyadh,J90,Riyadh,40-49,29
F,Makkah,S06.03,Makkah,70-79,6
F,Jeddah,R57.8,Jeddah,70-79,1
F,Jeddah,O60.0,Jeddah,30-39,20
M,Riyadh,N17.0,Riyadh,70-79,31
M,Riyadh,A41.4,Riyadh,00-17,34
M,Eastern Region,Z50.9,East,18-29,6
F,Medinah,J18.9,Medinah,00-17,15
M,Jeddah,J96.19,Jeddah,30-39,21
M,Makkah,N17.9,Medina,60-69,7
M,Jeddah,S72.3,Jeddah,60-69,20
M,Riyadh,S42.23,Riyadh,30-39,30
F,Medinah,S98.3,Jeddah,00-17,1
F,Bisha,A78,Assir,00-17,6
M,Jeddah,S73.00,Makkah,70-79,1
M,Riyadh,N17.9,Riyadh,60-69,31
F,Medinah,R10.4,Medinah,00-17,1
F,Riyadh,U82.3,Northern Borders,80+,1
M,Riyadh,R07.3,Riyadh,50-59,35
M,Jeddah,R11,Jeddah,00-17,21
F,Asir,R57.2,Assir,80+,13
M,Jeddah,P07.31,Makkah,00-17,2
F,Riyadh,M46.42,Riyadh,60-69,31
F,Qassim,I69.4,Qassim,50-59,2
M,Riyadh,Q65.82,Riyadh,18-29,1
M,Asir,I64,Assir,30-39,6
F,Eastern Region,D50.8,East,30-39,17
F,Jeddah,R57.1,Jeddah,70-79,19
F,Jeddah,J47,Jeddah,70-79,2
F,Riyadh,J15.1,Riyadh,30-39,32
F,Jazan,Q90.9,Jazan,18-29,2
F,Asir,G41.9,Asir,00-17,1
M,Riyadh,J96.09,Riyadh,50-59,35
F,Asir,E10.13,Assir,00-17,6
M,Jeddah,A41.9,Jeddah,70-79,133
F,Najran,E11.11,Najran,00-17,3
F,Northern Borders,E11.11,Riyadh,70-79,31
F,Jeddah,U80.3,Makkah,50-59,1
M,Jeddah,E13.15,Makkah,50-59,2
M,Jeddah,Z93.0,Jeddah,70-79,22
F,Jeddah,J96.00,Jeddah,70-79,68
M,Jazan,E13.16,Assir,00-17,6
F,Riyadh,I24.9,Riyadh,50-59,31
M,Jouf,D83.8,Riyadh,00-17,30
M,Asir,I98.3,Assir,60-69,12
F,Qassim,J18.9,Qassim,40-49,2
F,Riyadh,K76.9,Riyadh,50-59,32
M,Makkah,S56.8,Makkah,00-17,1
F,Jeddah,J18.0,Jeddah,70-79,1
F,Jazan,S82.82,Jazan,18-29,2
F,Medinah,J96.01,Medina,60-69,7
M,Medinah,K29.1,Medinah,00-17,1
F,Jeddah,O41.0,Makkah,00-17,1
M,Jeddah,E03.9,Jeddah,18-29,20
M,Asir,R57.2,Assir,50-59,1
M,Riyadh,D57.0,Riyadh,40-49,1
F,Najran,D57.1,Najran,00-17,3
M,Jeddah,A37.1,Makkah,00-17,1
F,Jeddah,I21.9,Jeddah,70-79,39
F,Riyadh,G20,Riyadh,50-59,3
F,Medinah,J96.00,Medinah,00-17,1
M,Riyadh,E87.1,Riyadh,40-49,1
F,Jeddah,R52.9,Makkah,70-79,1
M,Qassim,R10.0,Qassim,18-29,4
M,Qassim,J18.9,Qassim,50-59,2
M,Medinah,E13.15,Medinah,50-59,1
F,Makkah,N17.9,Makkah,18-29,1
M,Jeddah,E14.11,Northern Borders,40-49,1
M,Najran,R05,Assir,00-17,6
M,Qassim,J44.8,Qassim,80+,3
F,Qurayyat,I42.0,Riyadh,00-17,30
F,Jeddah,I64,Jeddah,18-29,19
M,Medinah,D57.1,Medina,00-17,6
M,Eastern Region,I64,East,50-59,17
F,Northern Borders,Z50.8,Riyadh,00-17,3
F,Jeddah,I26.9,Makkah,40-49,1
F,Medinah,Q87.83,Medina,00-17,6
F,Qassim,K62.5,Qassim,80+,2
M,Bisha,P59.9,Assir,80+,6
M,Medinah,I60.8,Medina,60-69,1
M,Eastern Region,N39.0,East,60-69,18
M,Makkah,N11.1,Makkah,70-79,6
F,Jeddah,A41.9,Jeddah,40-49,20
M,Jeddah,M00.88,Jeddah,40-49,20
F,Qassim,I26.9,Qassim,50-59,2
M,Outside-KSA,Z50.9,Riyadh,30-39,2
F,Makkah,R10.0,Makkah,40-49,6
F,Riyadh,R10.4,Riyadh,30-39,31
F,Jeddah,G61.0,Makkah,00-17,1
M,Jeddah,N18.9,Makkah,18-29,1
F,Jeddah,K92.9,Makkah,70-79,1
F,Eastern Region,Z50.9,East,80+,2
M,Outside-KSA,P07.30,Jeddah,00-17,1
F,Qassim,N17.1,Qassim,70-79,3
M,Medinah,K92.2,Medinah,70-79,1
F,Medinah,U80.3,Medinah,00-17,1
M,Qurayyat,J18.9,Riyadh,00-17,30
M,Riyadh,P59.9,Riyadh,50-59,60
M,Riyadh,K92.2,Riyadh,60-69,30
F,Qassim,N17.9,Qassim,30-39,2
F,Jeddah,E11.11,Makkah,60-69,1
M,Riyadh,G83.4,Riyadh,60-69,3
M,Makkah,I48.9,Makkah,80+,6
F,Asir,S83.10,Assir,60-69,8
F,Jeddah,O60.0,Jeddah,40-49,20
F,Outside-KSA,D33.1,Jeddah,40-49,22
M,Jeddah,E87.1,Makkah,40-49,1
F,Riyadh,J96.09,Riyadh,50-59,30
F,Asir,U84.3,Assir,00-17,7
F,Jeddah,S82.21,Makkah,18-29,1
F,Asir,G40.71,Assir,00-17,6
F,Eastern Region,Z50.9,East,00-17,3
M,Makkah,I50.9,Makkah,80+,1
F,Riyadh,I64,Riyadh,30-39,33
F,Jeddah,I51.9,Makkah,70-79,1
F,Medinah,P36.0,Medinah,80+,1
M,Riyadh,G37.0,Riyadh,50-59,3
M,Riyadh,D69.4,Riyadh,80+,29
F,Jeddah,I24.9,Makkah,40-49,4
M,Jeddah,I21.9,Jeddah,70-79,20
M,Makkah,I50.0,Makkah,50-59,6
M,Qassim,P07.32,Qassim,00-17,2
F,Jeddah,E16.1,Makkah,18-29,1
M,Medinah,G41.9,Medina,18-29,6
F,Jeddah,G93.4,Jeddah,60-69,21
M,Eastern Region,S98.2,Eastern Region,00-17,1
F,Qassim,J44.9,Qassim,50-59,2
M,Jeddah,E16.2,Jeddah,18-29,20
F,Riyadh,J80,Riyadh,00-17,38
